title,party,view,value,body
Carbon Tax ,Liberal ,impose,0.5,"The Liberals set a minimum carbon price of $20 per tonne this year, increasing $10 a year to $50 by 2022, and imposed a carbon tax on businesses and individuals in provinces with no federally approved carbon price plan. In those provinces, Ottawa is handing back carbon tax rebates to most residents. The tax has faced unsuccessful court challenges from several provinces."
Carbon Tax ,Conservative ,impose,-1,"Conservatives have called the Liberals’ carbon tax ineffective and have vowed to repeal it. The party would leave it to the provinces to decide if they want to put a price on carbon. It promises to reduce carbon emissions by investing in green technology funded in part by polluters who fail to meet new standards, but haven’t explained how this would be more effective than a carbon tax."
Carbon Tax ,New Democrat ,impose,1,"New Democrats are in favour of continuing with a carbon tax and the rebate program. However, Leader Jagmeet Singh wants to crack down more on heavy emitters. He said he wants those who produce the most emissions to “have the most burden” and vows to change the requirements slightly for industrial emitters."
Carbon Tax ,Bloc Québécois ,impose,1,The Bloc is in favour of a carbon tax but argues the Liberal plan doesn’t go far enough. It wants a tax of $30 per tonne on greenhouse gases in provinces where emissions per capita are higher than average. This would increase to $200 per tonne by 2030. The charge wouldn’t apply in “greener” provinces like Quebec.
Carbon Tax ,Green ,impose,0.5,"Leader Elizabeth May supports the carbon tax, saying putting a price on carbon has been “one of the cornerstones of Green Party climate policy for many years.” But she said it alone is not sufficient to meet the emissions targets of the Paris Accord, a target she hopes to double."
Carbon Tax ,People's Party ,impose,-1,"The People’s Party plans to get rid of the carbon tax, citing an increased cost for business and the threat of job losses. Instead, it plans to allow provinces to reduce emissions through their own programs “if they want to.”"
Carbon Tax ,Liberal ,tax rebate,1,"The Liberals set a minimum carbon price of $20 per tonne this year, increasing $10 a year to $50 by 2022, and imposed a carbon tax on businesses and individuals in provinces with no federally approved carbon price plan. In those provinces, Ottawa is handing back carbon tax rebates to most residents. The tax has faced unsuccessful court challenges from several provinces."
Carbon Tax ,Conservative ,tax rebate,0,"Conservatives have called the Liberals’ carbon tax ineffective and have vowed to repeal it. The party would leave it to the provinces to decide if they want to put a price on carbon. It promises to reduce carbon emissions by investing in green technology funded in part by polluters who fail to meet new standards, but haven’t explained how this would be more effective than a carbon tax."
Carbon Tax ,New Democrat ,tax rebate,1,"New Democrats are in favour of continuing with a carbon tax and the rebate program. However, Leader Jagmeet Singh wants to crack down more on heavy emitters. He said he wants those who produce the most emissions to “have the most burden” and vows to change the requirements slightly for industrial emitters."
Carbon Tax ,Bloc Québécois ,tax rebate,-1,The Bloc is in favour of a carbon tax but argues the Liberal plan doesn’t go far enough. It wants a tax of $30 per tonne on greenhouse gases in provinces where emissions per capita are higher than average. This would increase to $200 per tonne by 2030. The charge wouldn’t apply in “greener” provinces like Quebec.
Carbon Tax ,Green ,tax rebate,-1,"Leader Elizabeth May supports the carbon tax, saying putting a price on carbon has been “one of the cornerstones of Green Party climate policy for many years.” But she said it alone is not sufficient to meet the emissions targets of the Paris Accord, a target she hopes to double."
Carbon Tax ,People's Party ,tax rebate,0,"The People’s Party plans to get rid of the carbon tax, citing an increased cost for business and the threat of job losses. Instead, it plans to allow provinces to reduce emissions through their own programs “if they want to.”"
Child Care,Liberal ,child benefit,1,"Liberals would increase the Canada Child Benefit by 15 per cent for families with kids under one. The party wants to make parental benefits tax-free and pledges up to 250,000 new child care spaces for before and after school. They promise to cut fees for these programs by 10 per cent. The party wants to offer guaranteed income to parents who don’t qualify for paid leave."
Child Care,Conservative ,child benefit,0.5,"The party has pledged to maintain Liberal initiatives — it would continue with the Canada Child Benefit and increase social transfer payments by at least three per cent every year, which helps provinces and territories finance childcare and early learning. Leader Andrew Scheer made a new promise to make Employment Insurance benefits for new parents tax-free."
Child Care,New Democrat ,child benefit,1,"New Democrats would commit $1 billion to affordable, not-for-profit child care in 2020 and increase that amount yearly. They plan to create 500,000 new child-care spaces over four years. They pledge to tweak EI rules to allow parents to take shortened leaves and still receive full benefits. The party wants to implement a national school nutrition program."
Child Care,Bloc Québécois ,child benefit,0,The party has not released a policy on this issue. That’s likely because it’s not really an issue in Quebec; the province already has its own extensive subsidized child-care program.
Child Care,Green ,child benefit,1,"The party would boost child-care funding to at least one per cent of GDP annually. This would fund a universal child-care program, with an emphasis on creating child-care spaces in workplaces. Greens would remove the GST from the cost of building new child-care spaces. They also plan to create a children’s commissioner to ensure children are considered in government policy."
Child Care,People's Party ,child benefit,0,The party has not released a policy on this issue.
Child Care,Liberal ,tax reduction,0.5,"Liberals would increase the Canada Child Benefit by 15 per cent for families with kids under one. The party wants to make parental benefits tax-free and pledges up to 250,000 new child care spaces for before and after school. They promise to cut fees for these programs by 10 per cent. The party wants to offer guaranteed income to parents who don’t qualify for paid leave."
Child Care,Conservative ,tax reduction,0,"The party has pledged to maintain Liberal initiatives — it would continue with the Canada Child Benefit and increase social transfer payments by at least three per cent every year, which helps provinces and territories finance childcare and early learning. Leader Andrew Scheer made a new promise to make Employment Insurance benefits for new parents tax-free."
Child Care,New Democrat ,tax reduction,1,"New Democrats would commit $1 billion to affordable, not-for-profit child care in 2020 and increase that amount yearly. They plan to create 500,000 new child-care spaces over four years. They pledge to tweak EI rules to allow parents to take shortened leaves and still receive full benefits. The party wants to implement a national school nutrition program."
Child Care,Bloc Québécois ,tax reduction,0,The party has not released a policy on this issue. That’s likely because it’s not really an issue in Quebec; the province already has its own extensive subsidized child-care program.
Child Care,Green ,tax reduction,1,"The party would boost child-care funding to at least one per cent of GDP annually. This would fund a universal child-care program, with an emphasis on creating child-care spaces in workplaces. Greens would remove the GST from the cost of building new child-care spaces. They also plan to create a children’s commissioner to ensure children are considered in government policy."
Child Care,People's Party ,tax reduction,0,The party has not released a policy on this issue.
Climate Change,Liberal ,fossil fuel,-1.5,Liberals plan to phase out coal power by 2030 to help Canada exceed the Paris agreement’s carbon emission reduction targets. They pledge net-zero emissions by 2050. The party wants to end “inefficient” fossil fuel subsidies. It promises to complete flood maps for all of Canada and offer more money to communities to mitigate and adapt to natural disasters.
Climate Change,Conservative ,fossil fuel,0,"Conservatives have committed to meeting Paris agreement targets, but would axe the carbon tax. They propose requiring that heavy emitters invest in clean technology or research. The party wants to sign agreements giving Canada carbon credits for helping to achieve emissions reductions internationally, and launch a green-tech patent tax credit for businesses."
Climate Change,New Democrat ,fossil fuel,-1,"The NDP says it wants to cut Canada’s greenhouse gas emissions to 450 megatonnes by 2030. To get there, it would spend $15 billion retrofitting buildings and create a “climate bank” to invest in renewable energy and clean technology. It wants to eliminate fossil fuel subsidies, boost the support fund for communities hit by natural disasters and see Canada powered by net carbon-free electricity by 2030."
Climate Change,Bloc Québécois ,fossil fuel,-1,The Bloc is committed to meeting the Paris agreement targets and to look at exceeding them. It opposes building pipelines or investing in fossil fuel projects and promises to cut subsidies within 100 days of the election. The party says it would use the money saved on subsidies to promote clean energy.
Climate Change,Green ,fossil fuel,-1,"Greens aim to reduce emissions to 60 per cent below 2005 levels by 2030 ⁠— doubling Canada’s current Paris agreement targets ⁠— and hit net-zero emissions by 2050. The party promises to ban fracking, end imports of foreign oil and oppose fossil fuel projects. It would end fossil fuel subsidies within a year and pledges that all electricity would come from renewable resources by 2030."
Climate Change,People's Party ,fossil fuel,1,"Leader Maxime Bernier acknowledges climate change is happening, but isn't convinced humans play a role. He has said he would do ""nothing"" to address climate change and leave it to the private sector to find solutions. The party would withdraw from the Paris accord, get rid of green subsidies and ditch “unrealistic greenhouse gas emission reduction targets.”"
Climate Change,Liberal ,greenhouse gas reduction,1,Liberals plan to phase out coal power by 2030 to help Canada exceed the Paris agreement’s carbon emission reduction targets. They pledge net-zero emissions by 2050. The party wants to end “inefficient” fossil fuel subsidies. It promises to complete flood maps for all of Canada and offer more money to communities to mitigate and adapt to natural disasters.
Climate Change,Conservative ,greenhouse gas reduction,0.5,"Conservatives have committed to meeting Paris agreement targets, but would axe the carbon tax. They propose requiring that heavy emitters invest in clean technology or research. The party wants to sign agreements giving Canada carbon credits for helping to achieve emissions reductions internationally, and launch a green-tech patent tax credit for businesses."
Climate Change,New Democrat ,greenhouse gas reduction,1,"The NDP says it wants to cut Canada’s greenhouse gas emissions to 450 megatonnes by 2030. To get there, it would spend $15 billion retrofitting buildings and create a “climate bank” to invest in renewable energy and clean technology. It wants to eliminate fossil fuel subsidies, boost the support fund for communities hit by natural disasters and see Canada powered by net carbon-free electricity by 2030."
Climate Change,Bloc Québécois ,greenhouse gas reduction,0.5,The Bloc is committed to meeting the Paris agreement targets and to look at exceeding them. It opposes building pipelines or investing in fossil fuel projects and promises to cut subsidies within 100 days of the election. The party says it would use the money saved on subsidies to promote clean energy.
Climate Change,Green ,greenhouse gas reduction,1.5,"Greens aim to reduce emissions to 60 per cent below 2005 levels by 2030 ⁠— doubling Canada’s current Paris agreement targets ⁠— and hit net-zero emissions by 2050. The party promises to ban fracking, end imports of foreign oil and oppose fossil fuel projects. It would end fossil fuel subsidies within a year and pledges that all electricity would come from renewable resources by 2030."
Climate Change,People's Party ,greenhouse gas reduction,-1.5,"Leader Maxime Bernier acknowledges climate change is happening, but isn't convinced humans play a role. He has said he would do ""nothing"" to address climate change and leave it to the private sector to find solutions. The party would withdraw from the Paris accord, get rid of green subsidies and ditch “unrealistic greenhouse gas emission reduction targets.”"
Deficits,Liberal ,tax cut,-0.5,"The party had pledged to keep deficits under $10 billion and said its government would balance the books by 2019. It hasn’t. The Liberals’ election platform includes $9.3 billion in new spending in 2020-2021, with the deficit rising to $27.4 billion that same fiscal year. Given current trends, the finance department doesn’t predict a return to balanced budgets until at least 2040."
Deficits,Conservative ,tax cut,1.5,"Leader Andrew Scheer has promised his party would erase the deficit while cutting taxes. His plan to do that includes slashing foreign aid by 25 per cent, cancelling corporate handouts and cutting costs on consultants and federally owned real estate. He has promised to balance the books over five years. If accomplished, he pledges legislation to make sure all future budgets are balanced ones."
Deficits,New Democrat ,tax cut,0,"The party plans to balance the budget “when prudent” but has no target date. It’s proposing running a $32.7 billion deficit in 2020. That’s a stark contrast to the 2015 campaign, when the party promised to run four years of balanced budgets."
